ParticipantId,chatbot_conversation_history_personalization,search_history_personalization,email_personalization,device_personalization,chatbot_conversation_history_valuation,search_history_valuation,email_valuation,device_valuation,search_engine_history,popularity_history,content_mod_history,product_recs_history,concerned_pc,trust_pc,privacy_important_pc,concerns_gpt_pc,private_gpt_pc,inaccurate_info_concern,not_understanding_what_AI_can_do_concern,misused_concern,Usage,year_start_using,account_type,role,location,purpose,content,consent,anonymity,privacy,appropriate_score,concern_score
18,100,35,50,60,100,45,80,80,10,0,0,79,65,40,80,85,20,45,100,98,Weekly,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,the European Union,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,anonymized,automatically removed,0,100
19,3,7,0,0,55,54,12,11,21,5,10,0,75,55,72,25,85,59,88,94,Daily,2023 or earlier,ChatGPT Plus,a university computer science researcher,China,training future AI models,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,1,97
20,66,23,10,25,9,2,0,7,34,80,17,87,81,42,94,68,28,83,72,96,Daily,2023 or earlier,ChatGPT Plus,a government agency,the US,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,not removed,17,82
21,71,20,0,0,74,50,0,0,49,0,4,59,59,80,100,17,83,50,70,50,Weekly,2025,ChatGPT Free Subscription,a charitable foundation,the European Union,personalizing advertising,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,not anonymized,automatically removed,0,100
22,59,7,0,25,90,6,0,5,0,0,0,56,68,81,93,91,42,100,85,92,Weekly,2025,ChatGPT Free Subscription,a big tech company,the European Union,fighting terrorism,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,automatically removed,0,100
23,0,0,0,0,0,0,0,0,0,0,0,0,100,10,100,100,0,100,100,100,Less than Monthly,2024,No Account,a charitable foundation,the US,assessing mental health,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,anonymized,not removed,0,100
24,37,34,20,28,39,36,23,13,23,24,20,20,83,41,87,55,31,63,48,63,Weekly,2024,ChatGPT Free Subscription,an insurance company,the US,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,automatically removed,24,83
25,51,61,29,34,83,61,71,72,76,22,13,61,80,71,80,71,67,77,42,72,Daily,2024,ChatGPT Plus,a government agency,the US,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,not removed,73,52
26,71,62,95,82,68,21,25,59,60,30,50,56,50,28,100,100,100,84,71,98,Daily,2023 or earlier,ChatGPT Plus,an insurance company,the European Union,assessing mental health,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,not removed,78,93
27,66,71,70,69,60,59,59,47,69,69,69,68,51,60,80,81,61,83,40,55,Daily,2024,ChatGPT Free Subscription,a big tech company,the European Union,creating a public dataset for AI research,All of your conversations with ChatGPT,not informed that your data was collected,anonymized,automatically removed,69,87
28,60,0,0,0,100,0,0,0,10,20,40,30,90,30,100,75,20,100,100,100,Weekly,2024,ChatGPT Free Subscription,a university computer science researcher,the US,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,automatically removed,0,95
29,80,0,0,5,95,5,0,15,10,45,50,5,65,50,75,45,60,80,40,35,Weekly,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,the European Union,creating a public dataset for AI research,All of your conversations with ChatGPT,not informed that your data was collected,not anonymized,automatically removed,25,80
30,73,31,34,34,77,54,55,55,46,31,46,61,84,72,100,67,62,66,87,62,Weekly,2025,ChatGPT Free Subscription,a charitable foundation,the European Union,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,not anonymized,automatically removed,59,54
31,65,50,20,20,60,50,20,20,65,20,20,60,70,50,90,70,80,100,70,70,Weekly,2023 or earlier,ChatGPT Free Subscription,a big tech company,China,creating a public dataset for AI research,All of your conversations with ChatGPT,not informed that your data was collected,not anonymized,not removed,70,20
32,63,11,0,0,59,0,0,0,72,0,0,68,65,41,83,42,37,65,39,86,Monthly,2024,No Account,a university computer science researcher,the European Union,training future AI models,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,55,42
33,0,10,0,20,0,0,0,0,0,0,0,0,87,28,100,78,18,88,19,90,Weekly,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,the European Union,training future AI models,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,not anonymized,not removed,5,90
34,82,10,1,18,91,56,13,27,20,32,35,76,72,40,79,71,40,70,89,82,Daily,2025,ChatGPT Free Subscription,an insurance company,China,improving user experience with AI,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,anonymized,not removed,28,88
35,40,20,6,14,30,29,13,15,28,23,13,23,83,30,97,94,36,85,75,90,Weekly,2024,ChatGPT Free Subscription,a big tech company,the US,assessing mental health,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,not removed,13,86
36,0,0,0,0,20,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100,Weekly,2024,ChatGPT Free Subscription,a hospital,China,creating a public dataset for AI research,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,not anonymized,automatically removed,0,100
37,73,73,0,0,100,100,100,100,100,100,100,100,100,7,100,100,0,100,100,100,Daily,2023 or earlier,ChatGPT Free Subscription,a government agency,the European Union,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,not removed,89,50
38,1,0,0,0,0,0,0,0,0,0,0,0,98,1,100,0,7,80,97,98,Monthly,2024,No Account,a university computer science researcher,the US,creating a public dataset for AI research,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,automatically removed,0,100
39,50,30,0,0,50,30,0,0,30,0,0,30,70,30,80,60,20,70,60,50,Less than Monthly,2024,ChatGPT Free Subscription,an insurance company,the European Union,fighting terrorism,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,not removed,10,80
40,80,60,0,0,67,53,0,0,69,11,32,45,90,8,100,84,31,70,44,91,Daily,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,China,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,automatically removed,5,90
41,94,93,92,97,97,96,85,96,93,85,88,94,21,84,98,16,97,14,51,19,Daily,2024,No Account,a charitable foundation,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,automatically removed,87,79
42,40,30,21,30,30,22,20,25,20,30,30,50,75,50,90,50,40,70,80,90,Daily,2023 or earlier,ChatGPT Free Subscription,a big tech company,China,assessing mental health,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,automatically removed,30,70
43,67,29,41,27,67,23,36,34,71,29,84,76,66,76,86,37,54,59,61,67,Weekly,2024,ChatGPT Free Subscription,a government agency,the US,personalizing advertising,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,not removed,30,62
44,63,38,61,59,35,47,59,49,79,33,60,63,78,61,73,68,66,68,72,71,Weekly,2025,ChatGPT Free Subscription,a hospital,China,personalizing advertising,All of your conversations with ChatGPT,informed that your data was collected,anonymized,not removed,64,54
45,0,0,0,0,0,0,0,0,0,0,0,0,100,55,100,80,20,100,100,100,Daily,2023 or earlier,ChatGPT Pro,a university social science researcher,the European Union,studying AI risks to society,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,not anonymized,automatically removed,0,100
46,39,38,33,61,84,76,56,87,57,57,60,92,58,58,60,60,56,86,58,64,Weekly,2023 or earlier,ChatGPT Free Subscription,a hospital,China,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,not anonymized,automatically removed,0,100
47,72,10,0,0,,50,0,0,21,16,13,20,95,10,100,72,0,83,86,89,Weekly,2024,ChatGPT Plus,a university social science researcher,the US,personalizing advertising,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,not removed,29,87
48,82,29,0,0,100,72,0,0,27,27,54,26,100,58,97,100,9,100,100,100,Daily,2024,ChatGPT Free Subscription,an insurance company,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,anonymized,automatically removed,23,100
49,100,100,25,17,100,100,14,15,82,3,5,67,73,68,91,22,58,99,65,99,Weekly,2024,ChatGPT Free Subscription,a hospital,China,training future AI models,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,not removed,9,93
50,50,11,0,0,0,0,0,0,0,0,12,0,100,0,100,100,0,71,83,100,Weekly,2024,ChatGPT Free Subscription,a charitable foundation,the US,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,not removed,0,100
51,75,0,40,0,50,0,50,0,0,0,0,0,100,0,100,100,0,100,80,100,Weekly,2025,ChatGPT Plus,a hospital,China,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,automatically removed,10,100
52,50,0,0,0,70,0,0,0,50,0,50,0,100,50,100,90,30,100,70,100,Weekly,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,China,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,anonymized,automatically removed,20,90
53,70,29,28,29,69,26,24,25,61,28,62,62,30,50,71,29,49,39,,63,Monthly,2024,ChatGPT Free Subscription,a government agency,the European Union,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,automatically removed,32,62
54,55,60,5,60,60,60,10,60,40,35,30,45,10,85,80,10,80,4,5,5,Weekly,2024,No Account,a government agency,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,automatically removed,10,85
55,75,50,50,50,75,50,50,50,60,50,50,60,60,40,100,50,50,70,50,60,Weekly,2024,ChatGPT Free Subscription,a big tech company,the US,personalizing advertising,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,automatically removed,20,80
56,68,74,39,40,50,50,50,50,81,50,62,81,50,60,71,51,30,84,60,77,Daily,2023 or earlier,ChatGPT Free Subscription,a hospital,China,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,71,90
57,64,0,0,0,55,0,0,0,32,0,0,0,86,45,100,85,47,88,94,94,Weekly,2024,ChatGPT Free Subscription,a big tech company,the European Union,studying AI risks to society,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,not removed,5,100
58,87,88,0,0,50,50,0,0,72,42,60,50,100,43,100,68,44,58,86,100,Less than Monthly,2024,ChatGPT Free Subscription,a government agency,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,not removed,65,56
59,78,8,0,0,100,0,0,50,25,16,76,68,71,90,100,25,29,82,100,100,Weekly,2024,ChatGPT Plus,a charitable foundation,the European Union,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,automatically removed,28,84
60,80,22,40,17,82,41,31,22,65,30,32,71,70,40,90,85,25,75,60,75,Monthly,2024,No Account,a university social science researcher,the US,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,not removed,42,64
61,40,0,0,0,0,0,0,0,0,0,0,0,72,28,100,81,0,60,50,79,Weekly,2024,ChatGPT Free Subscription,a charitable foundation,China,predicting human behavior,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,automatically removed,0,100
62,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,50,100,Weekly,2025,No Account,a big tech company,the US,creating a public dataset for AI research,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,anonymized,not removed,100,100
63,60,0,0,0,0,0,0,0,30,50,40,80,70,30,90,80,21,40,30,60,Weekly,2025,No Account,a charitable foundation,China,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,not anonymized,automatically removed,20,60
64,70,30,20,0,50,30,0,0,70,0,0,70,100,50,100,80,50,70,80,90,Daily,2023 or earlier,ChatGPT Free Subscription,an insurance company,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,automatically removed,70,70
65,81,71,50,12,72,52,25,3,70,0,0,16,100,29,100,60,29,60,81,53,Weekly,2023 or earlier,ChatGPT Free Subscription,an insurance company,the US,creating a public dataset for AI research,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,automatically removed,50,53
66,84,22,83,69,92,74,83,83,80,0,1,89,78,50,96,66,58,98,78,92,Monthly,2024,ChatGPT Free Subscription,a hospital,the US,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,asked for consent in advance of the data being collected,anonymized,automatically removed,89,20
67,71,28,16,0,80,31,12,5,28,50,60,54,75,50,93,71,23,69,84,74,Monthly,2024,ChatGPT Plus,a government agency,the US,predicting human behavior,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,automatically removed,55,75
68,65,38,19,14,45,20,8,16,29,15,21,63,76,51,88,53,58,79,79,56,Monthly,2024,ChatGPT Free Subscription,a government agency,China,improving user experience with AI,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,not removed,77,34
69,60,80,83,29,75,32,20,69,41,61,72,62,80,36,97,71,50,63,72,76,Weekly,2024,No Account,a charitable foundation,the European Union,personalizing advertising,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,anonymized,automatically removed,28,93
70,62,60,23,27,63,64,35,39,64,74,32,61,79,30,72,63,35,56,63,67,Daily,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,the US,fighting terrorism,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,automatically removed,4,91
71,31,14,10,16,0,3,7,2,82,58,50,91,8,38,100,5,16,57,87,86,Weekly,2023 or earlier,ChatGPT Free Subscription,a government agency,the US,training future AI models,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,anonymized,not removed,23,92
72,84,95,18,77,83,82,81,94,76,0,81,70,84,21,85,93,10,69,62,77,Daily,2024,ChatGPT Free Subscription,a university social science researcher,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,automatically removed,17,88
73,97,99,26,25,88,81,28,28,100,28,67,92,20,81,61,81,9,65,83,72,Daily,2024,ChatGPT Free Subscription,a government agency,the European Union,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,not removed,53,75
74,20,0,0,0,20,5,5,0,25,0,0,0,85,35,100,100,15,75,85,100,Less than Monthly,2024,No Account,a hospital,the US,predicting human behavior,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,automatically removed,75,40
75,70,10,0,0,70,10,0,0,65,75,65,60,70,75,80,55,55,90,56,90,Weekly,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,the US,improving user experience with AI,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,anonymized,automatically removed,0,100
76,53,58,33,39,57,56,37,38,78,74,73,80,38,60,83,19,71,50,50,50,Daily,2024,ChatGPT Free Subscription,a government agency,the European Union,training future AI models,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,anonymized,not removed,73,72
77,80,10,0,0,80,10,0,0,40,10,40,40,90,70,100,70,10,100,100,100,Less than Monthly,2024,ChatGPT Free Subscription,a big tech company,the US,training future AI models,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,not removed,30,70
78,21,15,0,1,0,0,0,0,63,56,59,24,29,38,32,67,4,87,77,62,Less than Monthly,2025,ChatGPT Free Subscription,a university computer science researcher,China,assessing mental health,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,not removed,0,100
79,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,50,50,100,100,100,Weekly,2023 or earlier,ChatGPT Free Subscription,a government agency,the European Union,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,not removed,100,25
80,89,26,50,32,82,34,16,21,87,70,66,72,88,32,87,78,50,75,87,70,Daily,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,the European Union,training future AI models,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,automatically removed,12,78
81,60,30,0,0,75,30,0,0,10,0,0,5,100,20,100,100,0,90,60,80,Daily,2024,ChatGPT Free Subscription,a university computer science researcher,the European Union,personalizing advertising,Your conversations with ChatGPT where you sought legal or ethical guidance,not informed that your data was collected,anonymized,automatically removed,0,100
82,59,54,34,30,58,56,58,58,57,59,55,82,70,65,91,69,38,67,95,68,Daily,2023 or earlier,ChatGPT Plus,a big tech company,the US,studying AI risks to society,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,not removed,26,60
83,65,71,0,70,26,0,0,4,80,78,80,66,69,100,100,72,81,73,100,100,Daily,2024,ChatGPT Pro,a government agency,the European Union,studying AI risks to society,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,automatically removed,0,83
84,71,79,28,62,26,3,1,4,75,77,83,14,75,100,100,90,81,93,97,83,Daily,2023 or earlier,ChatGPT Plus,a government agency,China,studying AI risks to society,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,0,0
85,100,0,0,50,100,20,60,70,0,0,20,0,75,10,85,45,10,81,90,20,Daily,2023 or earlier,ChatGPT Free Subscription,an insurance company,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,not removed,0,100
86,70,5,0,0,70,0,0,0,50,0,0,20,100,50,100,80,0,50,100,70,Less than Monthly,2024,No Account,an insurance company,the European Union,assessing mental health,All of your conversations with ChatGPT,informed that your data was collected,anonymized,not removed,10,100
87,33,22,4,0,8,19,6,3,41,27,20,44,83,11,85,80,16,62,54,66,Daily,2023 or earlier,ChatGPT Free Subscription,a university social science researcher,the European Union,training future AI models,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,not removed,65,74
88,63,41,17,9,31,20,14,9,38,14,20,58,73,67,88,66,45,76,38,68,Weekly,2025,ChatGPT Free Subscription,a government agency,the US,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,not anonymized,not removed,35,67
89,59,64,44,47,65,64,42,47,62,67,64,65,50,60,90,79,66,63,62,39,Weekly,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,the European Union,training future AI models,All of your conversations with ChatGPT,informed that your data was collected,anonymized,not removed,40,61
90,82,76,23,61,23,5,9,0,83,81,71,70,80,100,100,67,93,82,84,91,Daily,2024,ChatGPT Pro,a charitable foundation,China,creating a public dataset for AI research,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,not removed,0,100
91,66,74,0,27,31,32,0,8,65,31,41,68,79,28,82,77,37,69,75,93,Weekly,2024,ChatGPT Free Subscription,a government agency,China,personalizing advertising,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,automatically removed,28,66
92,95,0,0,0,95,0,0,30,0,0,0,0,100,30,100,75,20,80,30,65,Daily,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,the US,personalizing advertising,All of your conversations with ChatGPT,informed that your data was collected,not anonymized,not removed,0,100
93,100,40,0,,100,44,9,,0,0,0,92,82,30,100,71,30,87,29,100,Weekly,2024,ChatGPT Free Subscription,a hospital,the US,assessing mental health,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,not removed,0,100
94,100,0,0,0,100,20,0,20,30,0,0,30,70,30,100,60,40,10,100,64,Daily,2024,ChatGPT Pro,a hospital,China,fighting terrorism,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,anonymized,not removed,0,100
95,66,45,0,0,0,0,0,0,16,0,0,53,100,25,100,100,23,96,92,86,Monthly,2024,ChatGPT Free Subscription,a big tech company,the European Union,predicting human behavior,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,not removed,0,100
96,100,100,100,100,100,73,100,100,100,100,100,100,0,76,62,0,57,77,74,66,Weekly,2024,ChatGPT Free Subscription,a government agency,the US,studying AI risks to society,All of your conversations with ChatGPT,asked for consent in advance of the data being collected,anonymized,not removed,100,0
97,69,93,80,88,61,68,85,71,82,88,76,67,78,87,79,94,87,73,92,80,Weekly,2023 or earlier,ChatGPT Plus,a big tech company,China,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,not removed,69,82
98,35,40,4,61,94,91,92,77,21,78,82,63,77,36,81,12,8,29,62,85,Daily,2023 or earlier,ChatGPT Plus,a university computer science researcher,the European Union,personalizing advertising,Your conversations with ChatGPT about social life and personal relationships,not informed that your data was collected,not anonymized,not removed,71,41
99,0,0,0,0,0,0,0,0,0,0,0,0,88,28,100,76,0,71,77,74,Weekly,2024,ChatGPT Free Subscription,a university computer science researcher,the European Union,assessing mental health,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,not removed,0,100
100,74,29,29,16,71,59,68,30,77,69,84,19,35,80,36,20,76,78,1,85,Weekly,2024,No Account,a big tech company,the US,fighting terrorism,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,not removed,17,65
101,49,15,13,21,23,5,4,11,50,50,50,50,97,6,99,95,20,55,60,62,Daily,2023 or earlier,ChatGPT Plus,a big tech company,the European Union,predicting human behavior,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,automatically removed,15,85
102,85,40,20,10,85,40,10,10,100,30,30,80,65,45,100,15,35,65,75,60,Weekly,2023 or earlier,ChatGPT Free Subscription,an insurance company,China,fighting terrorism,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,anonymized,not removed,65,10
103,0,0,0,0,0,0,0,0,0,0,0,0,100,14,86,100,0,100,100,100,Less than Monthly,2023 or earlier,No Account,a university social science researcher,the European Union,assessing mental health,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,not removed,0,100
