,Index,ParticipantId,Details of your physical location over a period of time,Content of your email messages,Content of your text phone conversations*,State of your health and medications you take,Content of your verbal phone conversations*,Social Security Number,Your religious and spiritual views,Content of your social media posts,Who your friends are and what they are like,Your basic purchasing habits – things like the food and clothes and stores you prefer,The media you like,Content of your conversations with chatbots like ChatGPT,Your political views and the candidates you support,Record of the websites you have visited online
35,36,41,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0
36,37,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
37,38,43,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
38,39,44,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
39,40,45,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0
40,41,46,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0
41,42,47,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
42,43,49,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
43,44,50,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
44,45,52,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
45,46,53,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
46,47,55,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
47,48,57,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
48,49,58,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0
49,50,59,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
50,51,60,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0
51,52,62,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
52,53,63,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0
53,54,64,3.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
54,55,65,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
55,56,66,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
56,57,67,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0
57,58,68,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0
58,59,69,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
59,60,71,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
60,61,72,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0
61,62,73,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0
62,63,74,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0
63,64,75,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
64,65,77,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0
65,66,78,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
66,67,80,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
67,68,81,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0
68,69,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
69,70,83,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0
70,71,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
71,72,85,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
72,73,87,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
73,74,89,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0
74,75,92,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
75,76,94,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
76,77,95,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
77,78,97,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
78,79,98,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0
79,80,99,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
80,81,101,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
81,82,103,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
82,83,104,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
83,84,105,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0
84,85,106,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0
85,86,108,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0
86,87,109,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0
87,88,110,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
88,89,111,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
89,90,112,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
90,91,113,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0
91,92,114,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
92,93,115,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
93,94,116,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0
94,95,117,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0
95,96,118,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
96,97,119,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0
97,98,120,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
98,99,121,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
99,100,122,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0
100,101,124,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
101,102,125,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
102,103,126,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
103,104,127,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0
104,105,128,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
105,106,129,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
106,107,130,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0
107,108,131,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
108,109,132,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0
109,110,134,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0
110,111,135,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
111,112,136,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
112,113,137,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
113,114,138,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0
114,115,139,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
115,116,140,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0
116,117,141,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
117,118,143,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0
118,119,144,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
119,120,145,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0
120,121,146,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
121,122,147,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0
122,123,148,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0
123,124,149,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0
124,125,151,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
125,126,152,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
126,127,153,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0
127,128,154,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0
128,129,156,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
129,130,157,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0
130,131,158,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0
131,132,159,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
132,133,161,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
133,134,162,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
134,135,163,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
135,136,164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
136,137,167,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
137,138,169,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0
138,139,170,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
139,140,171,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
140,141,172,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
141,142,173,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0
142,143,174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
143,144,175,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
144,145,176,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
145,146,177,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
146,147,178,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0
147,148,179,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
148,149,180,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0
149,150,181,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0
150,151,182,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
151,152,183,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
152,153,184,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
153,154,185,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
154,155,186,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0
155,156,187,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
156,157,188,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
157,158,189,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0
158,159,190,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
159,160,191,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
160,161,192,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
161,162,193,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
162,163,194,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0
163,164,195,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
164,165,196,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
165,166,197,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
166,167,198,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
167,168,199,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0
168,169,200,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
169,170,201,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
170,171,202,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0
171,172,203,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
172,173,204,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
173,174,205,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0
174,175,206,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0
175,176,207,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
176,177,208,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
177,178,211,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0
178,179,213,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
179,180,214,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
180,181,215,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0
181,182,216,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
182,183,217,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0
183,184,218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,185,219,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
185,186,220,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0
186,187,221,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
187,188,222,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
188,189,223,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
189,190,225,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0
190,191,226,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
191,192,227,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0
192,193,229,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
193,194,230,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0
194,195,231,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
195,196,232,1.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0
196,197,234,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0
197,198,235,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0
198,199,236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0
199,200,237,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
200,201,238,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0
201,202,240,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0
202,203,241,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0
203,204,242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
204,205,243,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0
205,206,244,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
206,207,245,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
207,208,246,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0
208,209,248,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
209,210,249,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
210,211,250,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
211,212,251,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
212,213,252,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
213,214,253,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0
214,215,254,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0
215,216,255,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
216,217,256,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0
217,218,258,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
218,219,259,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
